name,region,year,POP,GDP,HEX,LAN,MOR
"Congo, Dem. Rep.",Sub-Saharan Africa,2002,50971407,8728038525,2.5871639,2267050,152.4
"Congo, Rep.",Sub-Saharan Africa,2002,3256867,3019993723,2.45276459,341500,115.6
Costa Rica,Latin America & Caribbean,2002,4063208,16844378578,8.22565685,51060,11.6
Cote d'Ivoire,Sub-Saharan Africa,2002,17185421,12346919216,4.46676932,318e3,139.7
Croatia,Europe & Central Asia,2002,444e4,26878499206,6.19018539,55910,7.7
Cuba,Latin America & Caribbean,2002,11184540,335904e5,6.49530818,106390,7.7
Cyprus,Europe & Central Asia,2002,979883,11345759615,6.1236131,9240,5.8
Czech Republic,Europe & Central Asia,2002,10196916,81696651659,6.79738309,77270,6
Denmark,Europe & Central Asia,2002,5375931,179e9,9.33288751,42430,5.4
Djibouti,Middle East & North Africa,2002,745459,591122039.6,5.44853384,23180,96
Dominica,Latin America & Caribbean,2002,69806,337695734.8,4.71101985,750,15.1
Dominican Republic,Latin America & Caribbean,2002,8832286,26571659051,5.78862837,48320,39.1
Ecuador,Latin America & Caribbean,2002,13072056,28548945e3,4.61526692,248360,31.9
"Egypt, Arab Rep.",Middle East & North Africa,2002,70908710,87850683979,5.96959135,995450,41.4
El Salvador,Latin America & Caribbean,2002,5874301,143067e5,7.89933898,20720,29
Equatorial Guinea,Sub-Saharan Africa,2002,567664,1806742742,2.05102618,28050,143.8
Eritrea,Sub-Saharan Africa,2002,3788532,729321366.7,4.022588,101e3,80.4
Estonia,Europe & Central Asia,2002,1379350,7322068381,4.8440834,42390,9.4
Ethiopia,Sub-Saharan Africa,2002,70391170,7850809498,4.72945755,1e6,132.2
Faroe Islands,Europe & Central Asia,2002,47452,1268445919,NA,1396,NA
Fiji,East Asia & Pacific,2002,815691,1842691481,3.48156111,18270,23.9
Finland,Europe & Central Asia,2002,5200598,14e10,7.80782855,304590,4.1
France,Europe & Central Asia,2002,61805267,15e11,10.22030799,547566,5.1
French Polynesia,East Asia & Pacific,2002,245032,NA,NA,3660,NA
Gabon,Sub-Saharan Africa,2002,1289192,5310381151,3.21867604,257670,82.5
"Gambia, The",Sub-Saharan Africa,2002,1307674,578236035.1,3.75098777,10120,110.2
Georgia,Europe & Central Asia,2002,4357e3,3395778674,8.72331141,69490,31.1
Germany,Europe & Central Asia,2002,82488495,208e10,10.39990223,348860,5.1
Ghana,Sub-Saharan Africa,2002,19788181,6166330136,3.07302943,227540,94.2
Gibraltar,Europe & Central Asia,2002,27903,NA,NA,10,NA
Greece,Europe & Central Asia,2002,10902022,154e9,8.71768644,128900,6.8
Greenland,Europe & Central Asia,2002,56609,1169136691,NA,410450,NA
Grenada,Latin America & Caribbean,2002,102100,540336925.9,6.6735384699999996,340,15.2
Guam,East Asia & Pacific,2002,157241,NA,NA,540,NA
Guatemala,Latin America & Caribbean,2002,12272208,20776403844,6.70663788,107160,46.6
Guinea,Sub-Saharan Africa,2002,9114287,2949637039,3.76254133,245720,155.8
Guinea-Bissau,Sub-Saharan Africa,2002,1372367,415843479.8,5.83796501,28120,165.3
Guyana,Latin America & Caribbean,2002,743107,722460886.4,5.83507299,196850,44.8
Haiti,Latin America & Caribbean,2002,8834739,3472191962,5.46628153,27560,98.1
Honduras,Latin America & Caribbean,2002,6499001,7776435882,7.28280497,111890,34.2
"Hong Kong SAR, China",East Asia & Pacific,2002,6744100,166e9,NA,1050,NA
Hungary,Europe & Central Asia,2002,10158608,67516529107,7.46547035,89620,9.8
Iceland,Europe & Central Asia,2002,287523,9161798221,9.85538991,100250,3.6
India,South Asia,2002,1090189358,524e9,4.40107258,2973190,84.3
